ANO_ELEICAO;CODIGO_ESTADO;CODIGO_MUNICIPIO;NUMERO_PARTIDO;ANALFABETO;ENSINO_FUNDAMENTAL_COMPLETO;ENSINO_FUNDAMENTAL_INCOMPLETO;ENSINO_MEDIO_COMPLETO;ENSINO_MEDIO_INCOMPLETO;LE_E_ESCREVE;SUPERIOR_COMPLETO;SUPERIOR_INCOMPLETO;TOTAL_GASTO;SEXO;COD_GRAU_INSTRUCAO;QTD_APTOS;PERCENTUAL_VOTOS
622;2008;1;1090;45;1551;408;3269;460;1316;2504;46;44;0.0;2;3;19196;1.4
680;2008;1;1511;33;2305;552;3370;766;1401;3538;113;139;0.0;2;8;24368;17.6
681;2008;1;1511;11;2305;552;3370;766;1401;3538;113;139;0.0;2;6;24368;2.58
682;2008;1;1511;13;2305;552;3370;766;1401;3538;113;139;0.0;2;6;24368;17.9
741;2008;1;1023;11;1567;608;3019;477;987;2916;74;70;0.0;2;6;19436;7.7
742;2008;1;1023;50;1567;608;3019;477;987;2916;74;70;0.0;2;8;19436;11.77
743;2008;1;1023;17;1567;608;3019;477;987;2916;74;70;0.0;2;8;19436;3.06
744;2008;1;1023;36;1567;608;3019;477;987;2916;74;70;0.0;2;3;19436;0.59
745;2008;1;1023;15;1567;608;3019;477;987;2916;74;70;0.0;2;5;19436;4.82
746;2008;1;1023;13;1567;608;3019;477;987;2916;74;70;0.0;2;6;19436;12.39
826;2008;1;1066;13;1365;180;1511;136;262;1013;14;15;0.0;2;7;8992;20.79
827;2008;1;1066;15;1365;180;1511;136;262;1013;14;15;0.0;2;6;8992;19.85
828;2008;1;1066;50;1365;180;1511;136;262;1013;14;15;0.0;2;7;8992;2.39
879;2008;1;1392;13;15652;15355;63597;23152;41965;30456;6287;5142;0.0;2;8;403240;19.84
880;2008;1;1392;50;15652;15355;63597;23152;41965;30456;6287;5142;0.0;2;7;403240;0.48
881;2008;1;1392;33;15652;15355;63597;23152;41965;30456;6287;5142;0.0;2;6;403240;10.0
882;2008;1;1392;45;15652;15355;63597;23152;41965;30456;6287;5142;0.0;2;8;403240;8.72
1401;2008;1;1082;13;2101;362;2551;339;606;1919;26;45;0.0;2;6;15898;14.34
1402;2008;1;1082;11;2101;362;2551;339;606;1919;26;45;0.0;2;7;15898;13.27
1403;2008;1;1082;15;2101;362;2551;339;606;1919;26;45;0.0;2;3;15898;12.44
1457;2008;1;1031;23;548;48;257;108;88;755;16;8;0.0;2;4;3656;13.81
1458;2008;1;1031;22;548;48;257;108;88;755;16;8;0.0;2;7;3656;6.87
1459;2008;1;1031;13;548;48;257;108;88;755;16;8;0.0;2;6;3656;18.35
1485;2008;1;1457;22;4830;791;6156;1010;2151;7398;153;115;0.0;2;8;45208;21.14
1486;2008;1;1457;45;4830;791;6156;1010;2151;7398;153;115;0.0;4;4;45208;18.2
1533;2008;1;1538;22;2437;812;5681;1114;1903;3131;184;202;0.0;2;5;30928;14.9
1534;2008;1;1538;45;2437;812;5681;1114;1903;3131;184;202;0.0;2;6;30928;22.73
1609;2008;1;1473;65;6935;441;6050;553;1733;4350;110;93;0.0;2;5;40532;17.36
1610;2008;1;1473;11;6935;441;6050;553;1733;4350;110;93;0.0;2;4;40532;18.14
1652;2008;1;1490;13;2901;487;1893;469;860;3621;111;58;0.0;2;8;20800;14.31
1653;2008;1;1490;40;2901;487;1893;469;860;3621;111;58;0.0;2;8;20800;8.01
1654;2008;1;1490;45;2901;487;1893;469;860;3621;111;58;0.0;2;6;20800;11.56
1655;2008;1;1490;23;2901;487;1893;469;860;3621;111;58;0.0;2;7;20800;4.95
0;2008;2;27030;25;4149;564;3628;601;1344;3026;81;51;0.0;2;5;13463;0.15
1;2008;2;27030;13;4149;564;3628;601;1344;3026;81;51;91861.0;4;7;13463;40.97
35;2008;2;27057;15;15186;5922;40623;6905;17327;30390;1332;1341;383898.5;2;8;238156;34.07
36;2008;2;27057;10;15186;5922;40623;6905;17327;30390;1332;1341;6205.0;2;3;238156;1.85
37;2008;2;27057;43;15186;5922;40623;6905;17327;30390;1332;1341;7101.5;2;4;238156;1.49
226;2008;2;27073;40;6990;840;7614;1161;2927;9015;187;131;6858.82;2;7;57772;0.35
227;2008;2;27073;14;6990;840;7614;1161;2927;9015;187;131;208719.7;2;7;57772;17.83
228;2008;2;27073;13;6990;840;7614;1161;2927;9015;187;131;5755.0;2;8;57772;2.76
229;2008;2;27073;12;6990;840;7614;1161;2927;9015;187;131;102250.0;2;4;57772;16.31
284;2008;2;27090;14;1514;466;3322;600;899;2665;176;96;46334.0;4;7;19486;18.08
285;2008;2;27090;11;1514;466;3322;600;899;2665;176;96;45775.62;2;3;19486;13.5
286;2008;2;27090;45;1514;466;3322;600;899;2665;176;96;41559.84;2;8;19486;8.1
350;2008;2;27111;25;892;219;1911;412;495;677;266;133;44915.07;4;8;10022;10.42
351;2008;2;27111;14;892;219;1911;412;495;677;266;133;114262.86;2;6;10022;15.72
352;2008;2;27111;31;892;219;1911;412;495;677;266;133;85925.86;4;8;10022;14.47
409;2008;2;27138;11;2339;440;2958;443;945;3191;82;48;31953.0;2;4;20920;3.44
410;2008;2;27138;15;2339;440;2958;443;945;3191;82;48;45442.25;2;8;20920;20.76
459;2008;2;27170;11;841;152;1363;92;273;1779;12;16;91900.0;2;7;9070;24.29
460;2008;2;27170;40;841;152;1363;92;273;1779;12;16;0.0;2;6;9070;0.03
461;2008;2;27170;23;841;152;1363;92;273;1779;12;16;7000.0;2;7;9070;1.04
462;2008;2;27170;45;841;152;1363;92;273;1779;12;16;66761.49;2;8;9070;17.74
463;2008;2;27170;17;841;152;1363;92;273;1779;12;16;1600.0;2;6;9070;0.07
496;2008;2;27154;50;996;140;1575;176;460;1378;35;29;0.0;2;7;9584;1.85
497;2008;2;27154;22;996;140;1575;176;460;1378;35;29;0.0;2;4;9584;0.61
498;2008;2;27154;20;996;140;1575;176;460;1378;35;29;27801.35;4;8;9584;13.97
499;2008;2;27154;33;996;140;1575;176;460;1378;35;29;28520.0;4;6;9584;22.11
542;2008;2;27197;33;4513;495;5406;748;2586;5705;156;54;35309.0;2;4;39404;17.1
543;2008;2;27197;15;4513;495;5406;748;2586;5705;156;54;585885.66;2;8;39404;20.64
587;2008;2;27219;14;2286;208;2819;172;423;2235;34;22;35590.0;2;8;16412;15.35
588;2008;2;27219;15;2286;208;2819;172;423;2235;34;22;21919.76;4;7;16412;19.08
640;2008;2;27235;45;1358;138;1905;169;435;1990;33;38;40920.21;2;8;12136;17.07
641;2008;2;27235;15;1358;138;1905;169;435;1990;33;38;69134.58;2;6;12136;25.17
668;2008;2;27251;22;3601;532;3897;540;1317;3996;116;63;7700.0;2;6;28164;5.92
669;2008;2;27251;14;3601;532;3897;540;1317;3996;116;63;84448.12;2;7;28164;20.16
670;2008;2;27251;13;3601;532;3897;540;1317;3996;116;63;13677.16;2;8;28164;10.07
720;2008;2;27081;45;970;74;1460;171;447;775;20;34;60349.85;2;3;7906;11.28
721;2008;2;27081;70;970;74;1460;171;447;775;20;34;16505.0;2;5;7906;17.37
722;2008;2;27081;22;970;74;1460;171;447;775;20;34;15394.0;2;4;7906;15.62
770;2008;2;27278;11;5828;487;7623;602;1786;5447;68;52;92650.0;2;3;43824;17.13
771;2008;2;27278;14;5828;487;7623;602;1786;5447;68;52;162207.6;2;8;43824;18.64
830;2008;2;27294;14;1603;124;2529;127;286;2430;24;20;57780.0;2;4;14322;24.15
831;2008;2;27294;45;1603;124;2529;127;286;2430;24;20;48814.81;2;8;14322;17.78
859;2008;2;27316;33;3513;296;3396;295;702;4656;35;25;19370.0;4;8;25850;10.24
860;2008;2;27316;25;3513;296;3396;295;702;4656;35;25;6105.86;2;3;25850;0.75
861;2008;2;27316;14;3513;296;3396;295;702;4656;35;25;65766.55;2;8;25850;21.26
913;2008;2;27332;43;3153;628;3826;484;1251;3357;119;83;1983.5;2;8;25826;0.64
914;2008;2;27332;11;3153;628;3826;484;1251;3357;119;83;64317.41;2;8;25826;20.65
915;2008;2;27332;45;3153;628;3826;484;1251;3357;119;83;52900.0;2;6;25826;15.62
975;2008;2;27359;15;854;181;1505;187;416;2185;12;10;53675.85;2;6;10700;24.94
976;2008;2;27359;10;854;181;1505;187;416;2185;12;10;2159.1;2;8;10700;0.35
977;2008;2;27359;70;854;181;1505;187;416;2185;12;10;8922.34;2;2;10700;12.75
1003;2008;2;27375;11;1503;125;2127;227;589;1173;50;22;13040.17;2;7;11660;2.86
1004;2008;2;27375;33;1503;125;2127;227;589;1173;50;22;82010.35;4;8;11660;22.2
1005;2008;2;27375;40;1503;125;2127;227;589;1173;50;22;52616.75;2;8;11660;15.57
1040;2008;2;27391;20;2099;203;2815;129;529;2547;18;15;28373.3;2;8;16722;9.41
1041;2008;2;27391;11;2099;203;2815;129;529;2547;18;15;33556.84;2;5;16722;27.55
1068;2008;2;27413;12;4409;348;3376;445;1126;4359;72;69;52100.0;2;6;28432;15.76
1069;2008;2;27413;12;4409;348;3376;445;1126;4359;72;69;41710.6;4;7;28432;15.76
1070;2008;2;27413;45;4409;348;3376;445;1126;4359;72;69;29545.0;4;7;28432;5.66
1071;2008;2;27413;40;4409;348;3376;445;1126;4359;72;69;116200.0;2;6;28432;15.67
1111;2008;2;27430;33;502;412;1544;285;415;929;50;32;8200.0;2;6;8348;14.31
1112;2008;2;27430;45;502;412;1544;285;415;929;50;32;63611.54;4;8;8348;9.56
1113;2008;2;27430;22;502;412;1544;285;415;929;50;32;8417.85;2;4;8348;2.35
1114;2008;2;27430;14;502;412;1544;285;415;929;50;32;32099.8;2;8;8348;15.07
1169;2008;2;27456;13;6567;1225;11692;1543;3910;10827;239;192;1000.0;2;8;72506;9.75
1170;2008;2;27456;15;6567;1225;11692;1543;3910;10827;239;192;194997.11;2;8;72506;26.7
1171;2008;2;27456;11;6567;1225;11692;1543;3910;10827;239;192;0.0;4;4;72506;0.15
1231;2008;2;28894;70;3726;508;5022;214;1134;4564;29;30;64232.7;2;8;30470;13.43
1232;2008;2;28894;33;3726;508;5022;214;1134;4564;29;30;89100.0;2;6;30470;14.15
1233;2008;2;28894;11;3726;508;5022;214;1134;4564;29;30;40796.18;2;4;30470;11.47
1290;2008;2;27472;40;4934;1176;11111;1715;3470;11404;214;152;81813.68;2;6;68388;16.7
1291;2008;2;27472;23;4934;1176;11111;1715;3470;11404;214;152;22900.0;2;8;68388;1.18
1292;2008;2;27472;10;4934;1176;11111;1715;3470;11404;214;152;315265.56;2;3;68388;17.33
1293;2008;2;27472;21;4934;1176;11111;1715;3470;11404;214;152;0.0;2;6;68388;0.06
1294;2008;2;27472;20;4934;1176;11111;1715;3470;11404;214;152;30.0;2;6;68388;0.05
1357;2008;2;27499;11;1553;130;2800;174;405;3377;22;19;80755.4;2;4;16996;16.85
1358;2008;2;27499;45;1553;130;2800;174;405;3377;22;19;36137.35;4;6;16996;21.21
1383;2008;2;27049;11;2759;373;3810;273;878;3888;45;32;99566.97;4;7;24138;18.95
1384;2008;2;27049;15;2759;373;3810;273;878;3888;45;32;21074.0;2;5;24138;14.94
1385;2008;2;27049;17;2759;373;3810;273;878;3888;45;32;0.0;2;8;24138;0.08
1416;2008;2;27510;20;3260;335;4962;318;1062;4631;36;37;33160.0;2;5;29402;17.12
1417;2008;2;27510;14;3260;335;4962;318;1062;4631;36;37;63890.33;2;6;29402;21.25
1450;2008;2;27537;45;544;78;1135;110;301;953;20;17;6612.37;2;3;6316;18.22
1451;2008;2;27537;15;544;78;1135;110;301;953;20;17;69742.13;2;7;6316;21.26
1452;2008;2;27537;40;544;78;1135;110;301;953;20;17;3403.0;2;4;6316;0.74
1477;2008;2;27553;20;1686;232;2271;194;441;2466;45;19;35930.0;2;3;14720;15.99
1478;2008;2;27553;11;1686;232;2271;194;441;2466;45;19;47578.89;4;8;14720;22.65
1529;2008;2;27570;14;5097;390;7851;412;1333;7440;51;45;116377.3;2;8;45320;23.62
1530;2008;2;27570;25;5097;390;7851;412;1333;7440;51;45;0.0;2;8;45320;12.49
1531;2008;2;27570;25;5097;390;7851;412;1333;7440;51;45;7880.0;2;6;45320;12.49
1572;2008;2;27596;11;3156;191;3376;248;679;2575;52;63;238809.41;4;8;20688;22.26
1573;2008;2;27596;22;3156;191;3376;248;679;2575;52;63;0.0;4;4;20688;0.09
1574;2008;2;27596;45;3156;191;3376;248;679;2575;52;63;59518.26;2;4;20688;14.1
1619;2008;2;27618;15;4930;736;5006;441;1429;7692;61;47;45950.0;2;8;40726;15.88
1620;2008;2;27618;14;4930;736;5006;441;1429;7692;61;47;30140.81;2;8;40726;18.08
1660;2008;2;27634;28;3088;407;5586;305;1211;5866;63;47;26200.0;2;6;33166;17.42
1661;2008;2;27634;13;3088;407;5586;305;1211;5866;63;47;1765.15;2;8;33166;0.2
1662;2008;2;27634;40;3088;407;5586;305;1211;5866;63;47;167689.23;2;8;33166;20.1
1707;2008;2;27650;33;3627;264;3002;171;532;4517;28;20;60873.15;2;6;24328;18.63
1708;2008;2;27650;10;3627;264;3002;171;532;4517;28;20;9935.0;2;8;24328;0.02
1709;2008;2;27650;11;3627;264;3002;171;532;4517;28;20;0.0;2;3;24328;0.64
1710;2008;2;27650;13;3627;264;3002;171;532;4517;28;20;14113.85;2;4;24328;16.18
1764;2008;2;27677;20;1021;208;1434;168;359;1291;31;18;27637.15;2;8;9070;20.73
1765;2008;2;27677;11;1021;208;1434;168;359;1291;31;18;39990.0;2;4;9070;21.53
1788;2008;2;27693;11;1675;80;2019;158;366;1076;22;22;53650.0;2;7;10836;16.26
1789;2008;2;27693;15;1675;80;2019;158;366;1076;22;22;20241.8;2;5;10836;7.7
1790;2008;2;27693;13;1675;80;2019;158;366;1076;22;22;5620.0;2;3;10836;14.19
1838;2008;2;27715;15;1376;148;1999;251;616;1254;89;67;139000.0;2;8;11610;18.59
1839;2008;2;27715;13;1376;148;1999;251;616;1254;89;67;12030.0;4;8;11610;10.28
1840;2008;2;27715;20;1376;148;1999;251;616;1254;89;67;32836.54;2;4;11610;11.09
1883;2008;2;27731;25;1217;210;1701;75;229;1231;17;9;6959.0;2;8;9386;16.12
1884;2008;2;27731;45;1217;210;1701;75;229;1231;17;9;23817.42;2;3;9386;23.82
1906;2008;2;27065;14;2123;239;2928;353;594;1376;108;58;132332.49;2;8;15584;22.23
1907;2008;2;27065;15;2123;239;2928;353;594;1376;108;58;151350.5;2;8;15584;15.7
1954;2008;2;27758;11;4530;361;3599;310;672;4585;42;48;0.0;2;4;39004;10.08
1955;2008;2;27758;11;4530;361;3599;310;672;4585;42;48;90385.99;4;7;39004;12.84
1956;2008;2;27758;17;4530;361;3599;310;672;4585;42;48;0.0;2;6;39004;2.77
1957;2008;2;27758;23;4530;361;3599;310;672;4585;42;48;0.0;2;3;39004;0.12
1958;2008;2;27758;45;4530;361;3599;310;672;4585;42;48;0.0;2;3;39004;11.75
1959;2008;2;27758;45;4530;361;3599;310;672;4585;42;48;93500.0;2;3;39004;12.67
2014;2008;2;27774;12;1123;63;1414;139;339;694;22;26;44577.2;2;6;7642;15.06
2015;2008;2;27774;20;1123;63;1414;139;339;694;22;26;21400.0;2;6;7642;9.15
2016;2008;2;27774;15;1123;63;1414;139;339;694;22;26;43095.41;2;6;7642;13.99
2071;2008;2;27790;25;3368;523;5280;578;1684;6515;90;67;304384.18;2;4;36282;20.05
2072;2008;2;27790;20;3368;523;5280;578;1684;6515;90;67;146010.0;2;8;36282;16.96
2073;2008;2;27790;13;3368;523;5280;578;1684;6515;90;67;1044.2;2;6;36282;0.2
2113;2008;2;27812;40;2856;318;4232;262;1078;3827;28;45;11429.62;2;5;25310;10.83
2114;2008;2;27812;20;2856;318;4232;262;1078;3827;28;45;44368.55;2;7;25310;25.85
2156;2008;2;27839;11;4432;190;4559;233;946;5398;33;28;67429.4;2;8;31656;20.85
2157;2008;2;27839;20;4432;190;4559;233;946;5398;33;28;83400.0;2;8;31656;16.41
2187;2008;2;27855;11;29599;35288;163365;75320;91230;70781;23033;15699;1477283.71;2;6;1009284;31.69
2188;2008;2;27855;13;29599;35288;163365;75320;91230;70781;23033;15699;114055.15;2;8;1009284;4.16
2189;2008;2;27855;16;29599;35288;163365;75320;91230;70781;23033;15699;0.0;2;6;1009284;0.1
2190;2008;2;27855;50;29599;35288;163365;75320;91230;70781;23033;15699;15785.0;2;8;1009284;0.59
2191;2008;2;27855;45;29599;35288;163365;75320;91230;70781;23033;15699;2706000.0;4;8;1009284;2.36
3304;2008;2;27871;11;3287;637;4663;363;833;4402;98;77;0.0;2;6;28748;0.88
3305;2008;2;27871;33;3287;637;4663;363;833;4402;98;77;58634.0;2;8;28748;23.62
3306;2008;2;27871;17;3287;637;4663;363;833;4402;98;77;103650.95;4;6;28748;13.83
3343;2008;2;27979;15;561;93;1303;127;312;771;42;16;82747.3;4;8;6450;19.07
3344;2008;2;27979;11;561;93;1303;127;312;771;42;16;53415.98;4;8;6450;22.16
3366;2008;2;27898;14;3968;397;5793;762;1604;3700;172;83;109072.55;2;8;32972;24.18
3367;2008;2;27898;44;3968;397;5793;762;1604;3700;172;83;600.0;2;5;32972;0.83
3368;2008;2;27898;45;3968;397;5793;762;1604;3700;172;83;54600.7;2;8;32972;14.59
3429;2008;2;27910;14;1669;264;2413;204;514;3027;32;17;31607.0;2;7;16282;16.24
3430;2008;2;27910;20;1669;264;2413;204;514;3027;32;17;52847.5;2;8;16282;16.91
3431;2008;2;27910;11;1669;264;2413;204;514;3027;32;17;33339.49;2;5;16282;1.59
3470;2008;2;27936;15;4992;2266;9922;2486;3078;5194;676;343;165300.86;2;8;57964;15.8
3471;2008;2;27936;10;4992;2266;9922;2486;3078;5194;676;343;92021.95;2;7;57964;7.19
3472;2008;2;27936;33;4992;2266;9922;2486;3078;5194;676;343;28971.78;2;6;57964;6.53
3473;2008;2;27936;43;4992;2266;9922;2486;3078;5194;676;343;113715.0;2;7;57964;9.5
3566;2008;2;27952;31;2861;328;3531;496;1131;2817;58;47;0.0;4;3;22560;0.0
3567;2008;2;27952;20;2861;328;3531;496;1131;2817;58;47;59040.0;2;8;22560;22.9
3611;2008;2;27995;23;4785;472;4247;534;1082;5560;87;54;0.0;2;8;33670;0.03
3612;2008;2;27995;15;4785;472;4247;534;1082;5560;87;54;55791.88;2;6;33670;15.25
3613;2008;2;27995;11;4785;472;4247;534;1082;5560;87;54;79420.0;2;7;33670;17.04
3614;2008;2;27995;45;4785;472;4247;534;1082;5560;87;54;14334.33;2;6;33670;3.48
3670;2008;2;28010;15;3862;377;5312;589;1553;4560;42;26;237654.35;4;8;32674;14.34
3671;2008;2;28010;12;3862;377;5312;589;1553;4560;42;26;38215.6;2;6;32674;4.46
3740;2008;2;28037;23;2366;444;4849;332;852;2390;46;33;5060.73;2;3;22632;3.41
3741;2008;2;28037;10;2366;444;4849;332;852;2390;46;33;3584.76;2;8;22632;9.47
3742;2008;2;28037;15;2366;444;4849;332;852;2390;46;33;1010.0;4;6;22632;0.41
3743;2008;2;28037;45;2366;444;4849;332;852;2390;46;33;66177.7;4;6;22632;25.33
3811;2008;2;28053;14;664;94;1027;88;254;1168;12;10;61354.0;4;6;6658;17.5
3812;2008;2;28053;45;664;94;1027;88;254;1168;12;10;60046.78;4;6;6658;27.26
3835;2008;2;28070;22;1797;201;1251;162;323;1653;8;9;15042.5;2;7;10816;29.16
3836;2008;2;28070;20;1797;201;1251;162;323;1653;8;9;0.0;2;6;10816;8.97
3873;2008;2;28096;17;4268;715;6110;710;1586;4410;121;98;22677.5;2;4;36064;12.29
3874;2008;2;28096;15;4268;715;6110;710;1586;4410;121;98;158666.58;2;8;36064;25.29
3907;2008;2;28118;15;2389;147;1916;243;562;2098;42;35;25300.0;2;3;14864;20.05
3908;2008;2;28118;33;2389;147;1916;243;562;2098;42;35;59066.38;2;7;14864;23.39
3954;2008;2;28134;28;2934;491;3481;687;1155;4881;56;45;8150.0;2;8;27468;5.09
3955;2008;2;28134;22;2934;491;3481;687;1155;4881;56;45;111271.4;2;8;27468;21.3
3956;2008;2;28134;70;2934;491;3481;687;1155;4881;56;45;85504.05;2;6;27468;12.52
4023;2008;2;28150;45;1093;146;1560;109;237;1880;9;6;68268.0;2;4;10100;23.66
4024;2008;2;28150;15;1093;146;1560;109;237;1880;9;6;54300.0;2;8;10100;19.28
4049;2008;2;28177;12;836;67;1486;80;227;1374;16;7;30370.7;2;3;8188;20.1
4050;2008;2;28177;20;836;67;1486;80;227;1374;16;7;30287.2;4;8;8188;18.81
4072;2008;2;28193;13;1612;169;1925;172;468;4051;35;25;2002.0;2;8;16930;2.6
4073;2008;2;28193;20;1612;169;1925;172;468;4051;35;25;57389.75;2;6;16930;10.8
4074;2008;2;28193;33;1612;169;1925;172;468;4051;35;25;20000.0;2;6;16930;7.81
4075;2008;2;28193;33;1612;169;1925;172;468;4051;35;25;0.0;4;5;16930;7.81
4076;2008;2;28193;11;1612;169;1925;172;468;4051;35;25;74517.84;2;3;16930;15.92
4120;2008;2;28215;15;1399;232;2528;221;489;3158;14;12;38026.76;2;6;16114;21.42
4121;2008;2;28215;33;1399;232;2528;221;489;3158;14;12;24314.85;2;6;16114;17.19
4122;2008;2;28215;19;1399;232;2528;221;489;3158;14;12;23515.61;2;8;16114;0.15
4178;2008;2;28231;45;484;103;1200;147;378;1393;6;9;21540.0;2;4;7442;17.55
4179;2008;2;28231;11;484;103;1200;147;378;1393;6;9;36984.0;2;6;7442;24.98
4204;2008;2;28258;50;7045;2528;15996;3847;6793;12568;621;512;0.0;2;8;99924;5.8
4205;2008;2;28258;45;7045;2528;15996;3847;6793;12568;621;512;148622.47;2;8;99924;15.37
4206;2008;2;28258;13;7045;2528;15996;3847;6793;12568;621;512;18530.6;2;8;99924;2.32
4207;2008;2;28258;14;7045;2528;15996;3847;6793;12568;621;512;101278.01;2;5;99924;13.24
4320;2008;2;27022;11;1587;117;2444;148;516;2859;18;18;90325.6;2;6;15424;21.96
4321;2008;2;27022;45;1587;117;2444;148;516;2859;18;18;36838.0;2;2;15424;15.77
4427;2008;2;28290;15;2845;321;3357;295;715;2664;62;38;147681.2;4;8;20644;18.09
4428;2008;2;28290;11;2845;321;3357;295;715;2664;62;38;66294.14;4;6;20644;21.62
4475;2008;2;28312;14;937;141;1898;252;670;1729;64;44;50825.93;2;6;11500;15.44
4476;2008;2;28312;40;937;141;1898;252;670;1729;64;44;62101.8;2;8;11500;26.0
4518;2008;2;28339;45;4677;1240;13169;2598;6398;8414;875;522;523299.24;2;8;75820;19.54
4519;2008;2;28339;12;4677;1240;13169;2598;6398;8414;875;522;446301.85;2;8;75820;18.97
4611;2008;2;28355;40;2322;348;4541;507;1321;3103;113;86;83500.0;2;7;24702;20.24
4612;2008;2;28355;14;2322;348;4541;507;1321;3103;113;86;121787.34;2;8;24702;17.34
4656;2008;2;28371;15;4400;1140;8849;1207;3161;5669;183;100;97463.35;2;8;49436;17.25
4657;2008;2;28371;70;4400;1140;8849;1207;3161;5669;183;100;240920.74;2;8;49436;19.97
4720;2008;2;28398;40;601;70;699;89;167;721;18;2;0.0;2;8;4736;28.17
4721;2008;2;28398;14;601;70;699;89;167;721;18;2;17589.0;2;6;4736;12.63
4722;2008;2;28398;40;601;70;699;89;167;721;18;2;20000.0;2;3;4736;28.17
4743;2008;2;28410;40;2303;435;3675;571;1020;3863;127;73;0.0;2;6;24172;0.02
4744;2008;2;28410;13;2303;435;3675;571;1020;3863;127;73;14900.0;2;8;24172;18.26
4745;2008;2;28410;50;2303;435;3675;571;1020;3863;127;73;0.0;2;4;24172;0.74
4746;2008;2;28410;15;2303;435;3675;571;1020;3863;127;73;151515.97;4;8;24172;22.63
4797;2008;2;28452;19;5320;356;7102;711;1905;3753;115;102;0.0;2;8;38742;0.04
4798;2008;2;28452;14;5320;356;7102;711;1905;3753;115;102;92152.1;2;8;38742;13.88
4799;2008;2;28452;25;5320;356;7102;711;1905;3753;115;102;0.0;2;4;38742;1.54
4800;2008;2;28452;15;5320;356;7102;711;1905;3753;115;102;130828.0;2;7;38742;21.34
4878;2008;2;28479;12;1188;294;2347;376;642;1440;94;60;30075.5;2;5;19356;12.56
4879;2008;2;28479;12;1188;294;2347;376;642;1440;94;60;0.0;2;5;19356;12.59
