ANALFABETO;ENSINO_FUNDAMENTAL_COMPLETO;ENSINO_FUNDAMENTAL_INCOMPLETO;ENSINO_MEDIO_COMPLETO;ENSINO_MEDIO_INCOMPLETO;LE_E_ESCREVE;SUPERIOR_COMPLETO;SUPERIOR_INCOMPLETO;QTD_APTOS;QTD_COMPARECIMENTO
1290;4934;1176;11111;1715;3470;11404;214;152;68388;53280.0
1291;4934;1176;11111;1715;3470;11404;214;152;68388;53280.0
1292;4934;1176;11111;1715;3470;11404;214;152;68388;53280.0
1293;4934;1176;11111;1715;3470;11404;214;152;68388;53280.0
1294;4934;1176;11111;1715;3470;11404;214;152;68388;53280.0
1357;1553;130;2800;174;405;3377;22;19;16996;14014.0
1358;1553;130;2800;174;405;3377;22;19;16996;14014.0
1383;2759;373;3810;273;878;3888;45;32;24138;18182.0
1384;2759;373;3810;273;878;3888;45;32;24138;18182.0
1385;2759;373;3810;273;878;3888;45;32;24138;18182.0
1416;3260;335;4962;318;1062;4631;36;37;29402;25292.0
1417;3260;335;4962;318;1062;4631;36;37;29402;25292.0
1450;544;78;1135;110;301;953;20;17;6316;5592.0
1451;544;78;1135;110;301;953;20;17;6316;5592.0
1452;544;78;1135;110;301;953;20;17;6316;5592.0
1477;1686;232;2271;194;441;2466;45;19;14720;12502.0
1478;1686;232;2271;194;441;2466;45;19;14720;12502.0
1529;5097;390;7851;412;1333;7440;51;45;45320;37070.0
1530;5097;390;7851;412;1333;7440;51;45;45320;37070.0
1531;5097;390;7851;412;1333;7440;51;45;45320;37070.0
1572;3156;191;3376;248;679;2575;52;63;20688;16448.0
1573;3156;191;3376;248;679;2575;52;63;20688;16448.0
1574;3156;191;3376;248;679;2575;52;63;20688;16448.0
1619;4930;736;5006;441;1429;7692;61;47;40726;31418.0
1620;4930;736;5006;441;1429;7692;61;47;40726;31418.0
1660;3088;407;5586;305;1211;5866;63;47;33166;27734.0
1661;3088;407;5586;305;1211;5866;63;47;33166;27734.0
1662;3088;407;5586;305;1211;5866;63;47;33166;27734.0
1707;3627;264;3002;171;532;4517;28;20;24328;18852.0
1708;3627;264;3002;171;532;4517;28;20;24328;18852.0
1709;3627;264;3002;171;532;4517;28;20;24328;18852.0
1710;3627;264;3002;171;532;4517;28;20;24328;18852.0
1764;1021;208;1434;168;359;1291;31;18;9070;8036.0
1765;1021;208;1434;168;359;1291;31;18;9070;8036.0
1788;1675;80;2019;158;366;1076;22;22;10836;9072.0
1789;1675;80;2019;158;366;1076;22;22;10836;9072.0
1790;1675;80;2019;158;366;1076;22;22;10836;9072.0
1838;1376;148;1999;251;616;1254;89;67;11610;10026.0
1839;1376;148;1999;251;616;1254;89;67;11610;10026.0
1840;1376;148;1999;251;616;1254;89;67;11610;10026.0
1883;1217;210;1701;75;229;1231;17;9;9386;8200.0
1884;1217;210;1701;75;229;1231;17;9;9386;8200.0
1906;2123;239;2928;353;594;1376;108;58;15584;13004.0
1907;2123;239;2928;353;594;1376;108;58;15584;13004.0
1954;4530;361;3599;310;672;4585;42;48;39004;31958.0
1955;4530;361;3599;310;672;4585;42;48;39004;31958.0
1956;4530;361;3599;310;672;4585;42;48;39004;31958.0
1957;4530;361;3599;310;672;4585;42;48;39004;31958.0
1958;4530;361;3599;310;672;4585;42;48;39004;31958.0
1959;4530;361;3599;310;672;4585;42;48;39004;31958.0
2014;1123;63;1414;139;339;694;22;26;7642;6360.0
2015;1123;63;1414;139;339;694;22;26;7642;6360.0
2016;1123;63;1414;139;339;694;22;26;7642;6360.0
2071;3368;523;5280;578;1684;6515;90;67;36282;29426.0
2072;3368;523;5280;578;1684;6515;90;67;36282;29426.0
2073;3368;523;5280;578;1684;6515;90;67;36282;29426.0
2113;2856;318;4232;262;1078;3827;28;45;25310;20936.0
2114;2856;318;4232;262;1078;3827;28;45;25310;20936.0
2156;4432;190;4559;233;946;5398;33;28;31656;25750.0
2157;4432;190;4559;233;946;5398;33;28;31656;25750.0
2187;29599;35288;163365;75320;91230;70781;23033;15699;1009284;858938.0
2188;29599;35288;163365;75320;91230;70781;23033;15699;1009284;858938.0
2189;29599;35288;163365;75320;91230;70781;23033;15699;1009284;858938.0
2190;29599;35288;163365;75320;91230;70781;23033;15699;1009284;858938.0
2191;29599;35288;163365;75320;91230;70781;23033;15699;1009284;858938.0
3304;3287;637;4663;363;833;4402;98;77;28748;23710.0
3305;3287;637;4663;363;833;4402;98;77;28748;23710.0
3306;3287;637;4663;363;833;4402;98;77;28748;23710.0
3343;561;93;1303;127;312;771;42;16;6450;5788.0
3344;561;93;1303;127;312;771;42;16;6450;5788.0
