ANO_ELEICAO;CODIGO_ESTADO;CODIGO_MUNICIPIO;NUMERO_PARTIDO;ANALFABETO;ENSINO_FUNDAMENTAL_COMPLETO;ENSINO_FUNDAMENTAL_INCOMPLETO;ENSINO_MEDIO_COMPLETO;ENSINO_MEDIO_INCOMPLETO;LE_E_ESCREVE;SUPERIOR_COMPLETO;SUPERIOR_INCOMPLETO;TOTAL_GASTO;SEXO;COD_GRAU_INSTRUCAO;QTD_APTOS;TOTAL_VOTOS
1765;2008;2;27677;11;1021;208;1434;168;359;1291;31;18;39990.0;2;4;9070;1953
1788;2008;2;27693;11;1675;80;2019;158;366;1076;22;22;53650.0;2;7;10836;1762
1789;2008;2;27693;15;1675;80;2019;158;366;1076;22;22;20241.8;2;5;10836;834
1790;2008;2;27693;13;1675;80;2019;158;366;1076;22;22;5620.0;2;3;10836;1538
1838;2008;2;27715;15;1376;148;1999;251;616;1254;89;67;139000.0;2;8;11610;2158
1839;2008;2;27715;13;1376;148;1999;251;616;1254;89;67;12030.0;4;8;11610;1194
1840;2008;2;27715;20;1376;148;1999;251;616;1254;89;67;32836.54;2;4;11610;1288
1883;2008;2;27731;25;1217;210;1701;75;229;1231;17;9;6959.0;2;8;9386;1513
1884;2008;2;27731;45;1217;210;1701;75;229;1231;17;9;23817.42;2;3;9386;2236
1906;2008;2;27065;14;2123;239;2928;353;594;1376;108;58;132332.49;2;8;15584;3464
1907;2008;2;27065;15;2123;239;2928;353;594;1376;108;58;151350.5;2;8;15584;2446
1954;2008;2;27758;11;4530;361;3599;310;672;4585;42;48;0.0;2;4;39004;3932
1955;2008;2;27758;11;4530;361;3599;310;672;4585;42;48;90385.99;4;7;39004;5010
1956;2008;2;27758;17;4530;361;3599;310;672;4585;42;48;0.0;2;6;39004;1081
1957;2008;2;27758;23;4530;361;3599;310;672;4585;42;48;0.0;2;3;39004;48
1958;2008;2;27758;45;4530;361;3599;310;672;4585;42;48;0.0;2;3;39004;4583
1959;2008;2;27758;45;4530;361;3599;310;672;4585;42;48;93500.0;2;3;39004;4940
2014;2008;2;27774;12;1123;63;1414;139;339;694;22;26;44577.2;2;6;7642;1151
2015;2008;2;27774;20;1123;63;1414;139;339;694;22;26;21400.0;2;6;7642;699
2016;2008;2;27774;15;1123;63;1414;139;339;694;22;26;43095.41;2;6;7642;1069
2071;2008;2;27790;25;3368;523;5280;578;1684;6515;90;67;304384.18;2;4;36282;7273
2072;2008;2;27790;20;3368;523;5280;578;1684;6515;90;67;146010.0;2;8;36282;6154
2073;2008;2;27790;13;3368;523;5280;578;1684;6515;90;67;1044.2;2;6;36282;74
2113;2008;2;27812;40;2856;318;4232;262;1078;3827;28;45;11429.62;2;5;25310;2740
2114;2008;2;27812;20;2856;318;4232;262;1078;3827;28;45;44368.55;2;7;25310;6543
2156;2008;2;27839;11;4432;190;4559;233;946;5398;33;28;67429.4;2;8;31656;6600
2157;2008;2;27839;20;4432;190;4559;233;946;5398;33;28;83400.0;2;8;31656;5194
2187;2008;2;27855;11;29599;35288;163365;75320;91230;70781;23033;15699;1477283.71;2;6;1009284;319831
2188;2008;2;27855;13;29599;35288;163365;75320;91230;70781;23033;15699;114055.15;2;8;1009284;41948
2189;2008;2;27855;16;29599;35288;163365;75320;91230;70781;23033;15699;0.0;2;6;1009284;997
2190;2008;2;27855;50;29599;35288;163365;75320;91230;70781;23033;15699;15785.0;2;8;1009284;5906
2191;2008;2;27855;45;29599;35288;163365;75320;91230;70781;23033;15699;2706000.0;4;8;1009284;23813
3304;2008;2;27871;11;3287;637;4663;363;833;4402;98;77;0.0;2;6;28748;253
3305;2008;2;27871;33;3287;637;4663;363;833;4402;98;77;58634.0;2;8;28748;6791
3306;2008;2;27871;17;3287;637;4663;363;833;4402;98;77;103650.95;4;6;28748;3975
3343;2008;2;27979;15;561;93;1303;127;312;771;42;16;82747.3;4;8;6450;1230
3344;2008;2;27979;11;561;93;1303;127;312;771;42;16;53415.98;4;8;6450;1429
3366;2008;2;27898;14;3968;397;5793;762;1604;3700;172;83;109072.55;2;8;32972;7974
3367;2008;2;27898;44;3968;397;5793;762;1604;3700;172;83;600.0;2;5;32972;273
3368;2008;2;27898;45;3968;397;5793;762;1604;3700;172;83;54600.7;2;8;32972;4812
3429;2008;2;27910;14;1669;264;2413;204;514;3027;32;17;31607.0;2;7;16282;2645
3430;2008;2;27910;20;1669;264;2413;204;514;3027;32;17;52847.5;2;8;16282;2753
3431;2008;2;27910;11;1669;264;2413;204;514;3027;32;17;33339.49;2;5;16282;259
3470;2008;2;27936;15;4992;2266;9922;2486;3078;5194;676;343;165300.86;2;8;57964;9161
3471;2008;2;27936;10;4992;2266;9922;2486;3078;5194;676;343;92021.95;2;7;57964;4168
3472;2008;2;27936;33;4992;2266;9922;2486;3078;5194;676;343;28971.78;2;6;57964;3785
3473;2008;2;27936;43;4992;2266;9922;2486;3078;5194;676;343;113715.0;2;7;57964;5507
3566;2008;2;27952;31;2861;328;3531;496;1131;2817;58;47;0.0;4;3;22560;1
3567;2008;2;27952;20;2861;328;3531;496;1131;2817;58;47;59040.0;2;8;22560;5167
3611;2008;2;27995;23;4785;472;4247;534;1082;5560;87;54;0.0;2;8;33670;10
